job_board,post_url,company,industry,company_location,job_title,listed_skill,seniority_level,job_type,years_experience,skill_number,discrete_skill
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short1,advanced statistics
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short2,modeling
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short1,advanced statistics
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short2,modeling
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,advanced statistics and modeling knowledge,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short1,data visualization
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short2,data visualization skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short3,tableau
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short4,visualization skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short1,data visualization
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short2,data visualization skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short3,tableau
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short4,visualization skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,strong data visualization skills e g tableau,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short1,programming
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short2,programming skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short3,python
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short1,programming
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short2,programming skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short3,python
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short1,detail oriented
